Brewery,Location,Est. Year
 101 North Brewing Company,Petaluma,2012
 14 Cannons Brewing Company,Westlake Village,2017
 2 Kids Brewing Company,San Diego,2014
 2 Tread Brewing,Santa Rosa,2018
 21st Amendment Brewery (Kirin),San Francisco,2001
 3 Disciples,Sebastopol,2016
 3 Iron Brewing Company,Colton,2015
 32 North Brewing,San Diego,2014
 47 Hills Brewing Company,South San Francisco,2017
 8 Bit Brewing (CA),Murrieta,2016
 800 Degrees,Sara Monica,2018
 927 Beer Company,Cambria,2012
 Abnormal Beer Company,San Diego,2015
 Absolution Brewing Company,Torrance,2014
 Acoustic Ales Brewing Experiment,San Diego,2013
 Adobe Creek Brewing,Novato,2017
 Aftershock Brewing Company,Temecula,2012
 Alameda Island Brewing Company,Alameda,2015
 Alaro Craft Brewery,Sacramento,2018
 Ale House Brewing Company,San Jose,2016
 Ale Industries,Oakland,2009
 AleSmith Brewing Company,San Diego,1995
 Align Brewing,San Diego,2017
 All-American Ale Works,Anaheim,2018
 Almanac Beer Company,San Francisco,2011
 Alosta Brewing Company,Covina,2013
 Alpenglow Beer Company,Lafayette,2016
 Alpha Acid Brewing Company,Belmont,2014
 Alpine Beer Company (CA),Alpine,2002
 Alpine Village Hofbrau,Torrance,2001
 Altamont Beer Works,Livermore,2012
 Alvarado Street Brewery,Monterey,2014
 Amador Brewing Company,Plymouth,2015
 American River Brewing Company,Rancho Cordova,2011
 Amplified Ale Works,San Diego,2012
 Anacapa Brewing Company,Ventura,2005
 Anaheim Brewery,Anaheim,2011
 Anchor Brewing Company (Sapporo),San Francisco,2001
 Anderson Valley Brewing Company,Boonville,1986
 Angel City Brewing Company (A&S; Brewing - Boston Beer Co.),Los Angeles,1999
 Angry Horse Brewing,Montebello,2018
 Arcana Brewing Company,Carlsbad,2012
 Archaic Brewing,Tustin,2015
 Area 51 Craft Brewery,Riverside,2013
 Armistice Brewing Company,Richmond,2017
 Armstrong Brewing Company,South San Francisco,2015
 Arrogant Brewing,Escondido,1997
 Arrow Lodge Brewing,Covina,2016
 Arsenal Urban Ales,Pasadena,2016
 Artifex Brewing Company,San Clemente,2014
 Arts District Brewing,Los Angeles,2015
 Ashuraya Beverage Company,Encino,2014
 Ass Kisser Ales,San Jose,2010
" Asylum Brewing (Anaheim, CA)",Anaheim,2017
 Auburn Alehouse (CA),Auburn,2007
 Automatic Brewing Company (Blind Lady Ale House),San Diego,2009
 Aztec Brewing Company,Vista,2012
 Babes Bar-B-Que & Brewhouse,Rancho Mirage,2002
 Back Street Brewery (Vista),Vista,2008
 Backstreet Brewery,Anaheim,2015
 Baeltane Brewing,Novato,2012
 Bagby Beer Company,Oceanside,2014
 Bald Mountain Brewery,Marysville,2016
 Ballast Point Brewing Company (Constellation Brands),San Diego,1996
 Bang The Drum Brewery,San Luis Obispo,2013
 Barebottle Brewing Company,San Francisco,2016
 Barley Forge Brewing Company,Costa Mesa,2014
 Barrel Brothers Brewing Company,Windsor,2016
 Barrel Harbor Brewing,Vista,2013
 Barrel Head Brewhouse,San Francisco,2014
 BarrelHouse Brewing Company,Paso Robles,2013
 Barrels & Sons Brewery,Napa,2018
 Bartlett Hall,San Francisco,2014
 BattleMage Brewing Company,Vista,2017
 Bay Bridge Brewing,Chula Vista,2015
 Bay City Brewing,San Diego,2015
 Beach Chalet Brewery,San Francisco,1999
 Beach City Brewery,Huntington Beach,2013
 Beach Grease Beer Company,Vista,2017
 Beachwood BBQ & Brewing,Long Beach,2011
 Beachwood Blendery,Long Beach,2015
 Beancurdturtle Brewing,La Habra,2015
 Bear Republic Brewing Company,Healdsburg,1991
 Bear Roots Brewing Company,Vista,2015
 Beer Diva,Ukiah,2013
 Belching Beaver,Vista,2012
 Belmont Brewing Company,Long Beach,1999
 Benchmark Brewing,San Diego,2013
 Benoit Casper Brewing,Richmond,2015
 Berryessa Brewing Company,Winters,2011
 Beverly Hills Beerhouse Company,Brisbane,2010
 Big Bear Lake Brewing Company,Big Bear Lake,2014
 Big Bear Mountain Brewery,Big Bear Lake,2003
 Big Hurt Beverage Company,Salinas,2011
 Big Sexy Brewing Company,Sacramento,2016
 Big Stump Brewing Company,Sacramento,2017
 Bike Dog Brewing Company,West Sacramento,2013
 Bird Street Brewing,Lemoore,2015
 Bison Brewing Company,Berkeley ,1989
 Bitter Brothers Brewing Company,San Diego,2016
 BJ's Restaurant & Brewhouse,Huntington Beach,1999
 Black Diamond Brewing Company,Concord,1994
 Black Doubt Brewing Company,Mammoth Lakes,2015
 Black Gold Brewing Company,Taft,2014
 Black Hammer Brewing,San Francisco,2015
 Black Market Brewing Company,Temecula,2009
 Black Plague Brewing,Oceanside,2017
 Black Sands Brewery,San Francisco,2015
 Blaker Brewing Company,Ceres,2018
 Blessed Brewing,Grover Beach,2016
 Blue Frog Brewery,Fairfield,2001
 Blue Note Brewing,Woodland,2015
 Blue Oak Brewing Company,San Carlos,2017
 BNS Brewing & Distilling,Santee,2013
 Bolt Brewery,La Mesa,2014
 Bonaventure Brewing Company,Los Angeles,2003
 Boomtown Brewery,Los Angeles,2015
 Bootleggers Brewery,Fullerton,2008
 Booze Brothers Brewing,Vista,2013
 Border X Brewing,San Diego,2013
 Bottle Logic Brewing,Anaheim,2014
 Brass Bear,Santa Barbara ,2018
 Brävery Brewing,Lancaster,2012
 Breakwater Brewing Company,Oceanside,2009
 Brew Crew Inc,Riverside,2013
 Brew Rebellion,Yucaipa,2013
 Brewbakers Brewing Company (Visalia),Visalia,2009
 Brewcaipa,Yucaipa,2017
 Brewery REX,,2017
 Brewery Twenty Five,San Juan Bautista,2017
 brewLAB,Carpinteria,2014
 Brew-Ligion,Murrieta,2012
 Brewtality Brewing,Sunnyvale,2018
 Brewyard Beer Company,Glendale,2015
 British Bulldog,Chico,2018
 Brouwerij West,"San Pedro, CA",2010
 Brüehol Brewing,Benicia,2017
 Bruery Terreux,Anaheim,2015
 Buffalo Bills Brewery,Hayward,1983
 Burgeon Beer Company,Carlsbad,2017
 Burning Barrel Brewing Company,Ranco Cordova,2018
 Burning Beard Brewing,El Cajon,2016
 Butte Creek Brewing Company,Ukiah,1996
 Calicraft Brewing Company,Walnut Creek,2012
 California Brewing Company,Palo Cedro,2010
 California Wild Ales,San Diego,2018
 Callahan's Pub & Brewery,San Diego,2002
 Calturas Brewery,Lodi,2017
 Camino Brewing Company,San Jose,2015
 Campbell Brewing Company,Campbell,2005
 Cannery Row Brewing Company,Monterey,2011
 Canyon Lakes Golf Course & Brewery,San Ramon,2017
 Captain Fatty's Craft Brewery,Goleta,2014
 Carmel Valley Brewing,Carmel Valley,2006
 Carneros Brewing Company,Sonoma,2013
 Casa Agria,Oxnard,2015
 Catalina Island Brewhouse,Avalon,2015
 Cellador Ales,North Hills,2016
 Cellarmaker Brewing Company,San Francisco,2013
 Central Coast Brewing,San Luis Obispo,2004
 Channel Brewing Company,Stockton,2017
 Chapman Crafted Beer,Orange,2016
 Chau Tien Beer Company,Fairfield,1985
 Chino Valley Brewery,Ontario,2012
 ChuckAlek Independent Brewers,Ramona,2014
 Chula Vista Brewery,Chula Vista,2018
 Circle 9 Brewing,San Diego,2018
 Cismontane Brewing,Rancho Santa Margarita,2009
 Claimstake Brewing,Rancho Cordova,2016
 Clandestine Brewing,San Jose,2014
 Claremont Craft Ales,Claremont,2012
 Cleophus Quealy Beer Company,San Leandro,2014
 Coachella Valley Brewing,Thousand Palms,2013
 Coastal Fog Brewing,Concord,2001
 Cold Bore Brewing,Jamul,2012
 Cold Water Brewery & Grill,South Lake Tahoe,2014
 Concrete Jungle Brewing Project,Los Angeles,2017
 Congregation Ales,Azusa,2013
 Cool Beerwerks,Cool,2014
 Cooperage Brewing Company,Santa Rosa,2015
 Coronado Brewing Company,Coronado,1996
 Corralitos Brewing Company,Watsonville,2015
 Cosmic Ales,Torrance,2010
 Council Brewing Company,San Diego,2014
 Craft Artisan Ales,Pacific Grove,2014
 Craft Brewing Company,Lake Elsinore,2010
 Craftsman Brewing Company,Pasadena,2000
 Creek Monkey Tap House (Rocksteady Brewing),Martinez,2012
 Crooked Goat Brewing,Sebastopol,2016
 Crooked Lane Brewing Company,Auburn,2016
 Cultivar Beer,San Francisco,2018
 Culture Brewing Company,Solana Beach,2013
 Culver Beer Company,Carlsbad,2016
 Dagny Brewing Company,Modesto,2015
 Dancing Fox Winery,Lodi,2015
 Danville Brewing Company,Danville,2016
 DarkHeart Brewing,Sacramento,2018
 Deans Brothers Brewing Company,Santa Ana,2008
 Death Valley Brewing,Tecopa,2015
 Deft Brewing,San Diego,2017
 Del Cielo Brewing Company,Martinez,2018
 Dempsey's Restaurant and Brewery,Petaluma,1991
 Desert Barn Brewery,Hesperia,2015
 Device Brewing Company,Sacramento,2013
 Devil's Canyon Brewing Company,San Carlos,2004
 Dionysus Brewing,Bakersfield,2016
