Brewery,Location,Est. Year
 Badass Backyard Brewing,Coeur d'Alene,2018
 Barbarian Brewing,Garden City,2015
 Bear Island Brewing Company,Boise,2014
 Bella Brewing,Garden City,2014
 Bent Tree Brewing,Athol,2018
 Bertrams Brewery and Restaurant,Salmon,2003
 Big Horn Brewing Boise (The Ram),Boise,2005
 Boise Brewing,Boise,2014
 Bombastic Brewing,Hayden,2017
 Broken Horn Brewing Company,McCall,2013
 Clairvoyant Brewing,Boise,2015
 Cloud 9 Brewery,Boise,2014
 County Line Brewing,Garden City ,2015
 Crescent Brewery,Nampa,2010
 Crooked Fence Brewing Company,Garden City,2012
 Daft Badger Brewing,Coeur d’ Alene,2015
 Downdraft Brewing Co.,Post Falls,2014
 Edge Brewing Company,Boise,2014
 Grand Teton Brewing Co.,Victor,1988
 Hardware Brewing Company,Kendrick,2017
 Heaven's Gate Brewery,Riggins,2017
 Highlands Hollow,Boise,2002
 Hunga Dunga Brewing Company,Moscow,2017
 Idaho Brewing Company,Idaho Falls,2009
 Jim Dandy Brewing,Pocatello,2018
 Kootenai River Brewing Company,Bonners Ferry,2011
 Laughing Dog Brewing,Ponderay,2005
 Lost Grove Brewing,Boise,2017
 Mad Bomber Brewing Co,Hayden,2013
 Mad Swede Brewing Company,Boise,2016
 Magic Valley Brewing,Buhl,2017
 Matchwood Brewing,Sandpoint,2018
 McCall Brewing Company,McCall,2003
 MickDuffs Brewing Company,Sandpoint,2006
 Moscow Brewing Company,Moscow,2013
 North Idaho Mountain Brewery,Wallace,2011
 Paragon Brewing,Coeur d’Alene,2014
 Payette Brewing Company,Boise,2011
 Portneuf Valley Brewing Co.,Pocatello,1999
 Post Falls Brewing Company,Post Falls,2016
 Powderhaus Brewing Company,Garden City,2015
 Priest Lake Brewing,Priest Lake,2018
 Radio Brewing Company,Kellogg,2017
 Rants and Raves Brewery,Moscow,2016
 River Bend Brewing,Hailey,2004
 River of No Return Brewing Company,Challis,2016
 Salmon River Brewery,McCall,2008
 Sawtooth Brewery,Hailey,2011
 Selkirk Abbey Brewing Company,Post Falls,2012
 Shattuck Brewery,Elk River,2018
 Slate Creek Brewing Company,Coeur d’Alene,2013
 Snow Eagle Brewing & Grill,Idaho Falls,2011
 Sockeye Brewing,Boise,2002
 Sun Valley Brewing,Hailey,1993
 Trestle Brewing Company,Ferdinand,2016
 Trickster's Brewing Company,Coeur d’Alene,2012
 Utara Brewing Company,Sandpoint,2018
 Von Scheidt Brewing Company,Twin Falls,2011
 Wallace Brewing Company,Wallace,2009
 Warfield Distillery & Brewery,Ketchum,2015
 Western Collective Beer,Garden City,2018
 Wildlife Brewing & Pizza,Victor,2005
 Wolftrack Brewing,Cottonwood,2015
 Woodland Empire Ale Craft,Boise,2014
