Brewery,Location,Est. Year
 10 Torr Distilling and Brewing,Reno,2017
 Able Baker Brewing,Las Vegas,2016
 Alibi Ale Works,Incline Village,2014
 Astronomy Aleworks,Henderson,2018
 Bad Beat Brewing,Henderson,2014
 Banger Brewing Company,Las Vegas,2012
 Barley's Casino and Brewing,Henderson,2001
 Battle Born Beer Company,Reno,2013
 Big Dog's Brewing Company,Las Vegas,2004
 Boulder Dam Brewing Co.,Boulder City,2007
 Branded Hearts Distillery,Reno,2016
 Brasserie Saint James,Reno,2012
 Brew Brothers Reno (El Dorado Casino),Reno,2002
 Bugsy Brewing Inc,Las Vegas,2012
 Camo Beer Company,Las Vegas,2012
 Chicago Brewing Company,Las Vegas,2000
 CraftHaus Brewery,Henderson,2014
 Ellis Island Casino & Brewery,Las Vegas,2000
 Great Basin Brewing Company,Sparks,1999
 High Sierra Brewing Company,Sparks,2011
 Hop Nuts Brewing,Las Vegas,2015
 IMBĪB Custom Brews,Reno,2015
 Joseph James Brewing Company,Henderson,2009
 Lead Dog Brewing Company,Reno,2017
 Lovelady Brewing,Henderson ,2016
 No Limit Brewing,Las Vegas,2012
 Pigeon Head Brewery,Reno,2014
 Pints Brewery & Sports Bar on the Colorado Belle,Laughlin,2002
 PT's Brewing Company,Las Vegas,2016
 Record Street Brewing Company,Reno,2016
 Revision Brewing Company,Sparks,2017
 Ruby Mountain Brewing Company,Clover Valley,1994
 Shoe Tree Brewing Company,Carson City,2017
 Silver Peak Restaurant & Brewery,Reno,2003
 Sin City Beer Company,Las Vegas,2003
 Stoneyhead Brewery,Reno,2013
 Tenaya Creek Brewery,Las Vegas,1999
 The Brewer's Cabinet,Reno,2012
 The Depot Craft Brewery & Distillery,Reno,2015
 The Union,Carson City,2018
 Tonopah Brewing Company,Tonopah,2014
 Triple 7 Brewpub at Main Street Station,Las Vegas,1997
 Two Bald Guys Beverage Company,Reno,2015
 Under The Rose Brewing Company,Reno,2013
 Virginia City Brewery & Taphouse,Virginia City,2015
