Brewery,Location,Est. Year
 10 Barrel Brewing (AB InBev),Bend,2008
 1188 Brewing Company,John Day,2014
 13 Virtues Brewing Company,Portland,2013
 3 Sheets Brewery & Taproom,Albany,2017
 7 Devils Brewing Company,Coos Bay,2013
 Agrarian Ales,Eugene,2012
 Alameda Brewing Co.,Portland,2001
 Alesong Brewing & Blending,Eugene,2016
 Aletruism Brewing,Portland,2018
 Allegory Brewing,McMinnville,2017
 Ambacht Brewing,Hillsboro,2010
 Ancestry Brewery,Tualatin,2016
 Arch Rock Brewing Company,Gold Beach,2013
 Asher David Brewing & Cellarworks,Silverton,2018
 Astoria Brewing Co. (Wet Dog Cafe),Astoria,2003
 Awesome Ales,Portland,2013
 Back Pedal Brewing,Portland,2015
 Backside Brewing Company,Roseburg,2016
 Baerlic Brewing,Portland,2014
 Bandon Brewing Company,Bandon,2018
 Barley Browns Brewpub,Baker City,1998
 Barley Sprout Restaurant & Brewery,Gresham,2017
 Base Camp Brewing Company,Portland,2011
 Beer Valley Brewing Company,Ontario,2006
 Belgian Underground Beers,Silverton,2018
 Below Grade Brewing LLC,Bend,2012
 Bend Brewing Company,Bend,1996
 Benedictine Brewery,St. Benedict,2014
 Bent Shovel Brewing,Oregon City,2015
 Bethany Public House,Portland,2014
 Bier One Brews,Newport,2016
 Big Horn Brewing Clackamas (The Ram),Happy Valley,2010
 Big Horse Brewing,Hood River,1995
 Bills Tavern and Brewhouse,Cannon Beach,2000
 Binary Brewing,Beaverton,2018
 Bine Valley Brewing,Salem,2017
 Block 15 Brewery,Corvallis,2008
 Blue House Cafe and Brewery,Vernonia,2008
 Boneyard Beer Company,Bend,2010
 Boring Brewing Company,Boring,2013
 Breakside Brewery,Milwaukie,2013
 Brewed By Gnomes,Portland,2016
 Brewers Union Local 180,Oakridge,2008
 Brewery 26,Portland,2017
 Bricktowne Brewing Company,Medford,2011
 Bridge 99 Brewery,Bend,2014
 BridgePort Brewing,Portland,1984
 Bull Ridge Brewpub,Baker City,2012
 Bunsenbrewer,Sandy,2014
 Buoy Beer Company,Astoria,2014
 Burnside Brewing Company (OR),Portland,2011
 Calapooia Brewing Company,Albany,2007
 Caldera Brewing Company,Ashland,1997
 Captured by Porches Brewing Company,St Helens,2005
 Cascade Brewing,Portland,1998
 Cascade Lakes Brewing Co.,Redmond,1994
 Chehalem Valley Brewing Company,Newberg,2012
 Chetco Brewing Company,Brookings,2013
 Claim 52 Brewing,Eugene,2013
 Climate City Brewing Company,Grants Pass,2015
 Coalition Brewing,Portland,2010
