Brewery,Location,Est. Year
 2 Row Brewing,Midvale,2015
 A. Fisher Brewing Co.,Salt Lake City,2017
 Bohemian Brewery & Grill,Midvale,2002
 Bonneville Brewery Company,Tooele,2012
 Desert Edge Brewery,Salt Lake City,1995
 Epic Brewing Company (UT/CO),Salt Lake City,2010
 Hop N' Keg Brewery,Vernal,2015
 Hoppers Grill & Brewery,Midvale,2003
 Kiitos Brewing,Salt Lake City,2017
 Moab Brewery,Moab,2002
 Park City Brewery,Park City,2015
 Pinnacle Brewing Co. (aka Groggs),Helper,2003
 Proper Brewing Company,Salt Lake City,2013
 Red Rock Brewing,Salt Lake City,1994
 RoHa Brewing Project,Salt Lake City,2017
 Roosters Brewing Co. (US),locations in Ogden and Layton,2003
 Salt Flats Brewing,Salt Lake City,2018
 SaltFire Brewing Company,South Salt Lake,2018
 Shades of Pale Brewing Company,Salt Lake City,2011
 Squatters Craft Beers (FCP),Salt Lake City,1989
 Strap Tank Brewing Company,Springville,2016
 Talisman Brewing Company,Ogden,2016
 Toasted Barrel Brewery,Salt Lake City,2018
 Uinta Brewing Company,Salt Lake City,1993
 Vernal Brewing Company,Vernal,2013
 Wasatch Brewery (FCP),Park City,1986
 Zion Canyon Brewing Company,Springdale,2006
