Brewery,Location,Est. Year
 101 Brewery & Twana Roadhouse,Quilcene,2013
 192 Brewing Company,Kenmore,2010
 20 Corners Brewing Co.,Woodinville,2016
 210 Brewing Company,Arlington,2015
 238 Brewing Company,Green Bluff,2015
 5 Rights Brewing Company,Lake Stevens,2015
 54°40' Brewing Company,Washougal,2015
 7 Seas Brewing,Gig Harbor,2009
 Airways Brewing Company,Kent,2010
 Alpine Brewing Company (WA),Oroville,2000
 American Brewing Company (Pacific Brewing & Malting Company),Edmonds,2011
 Ashtown Brewing Company,Longview,2013
 Aslan Brewing Company,Bellingham,2014
 At Large Brewing,Everett,2015
 Atomic Ale Brewpub (US),Richland,2005
 Atwood Ales,Blaine,2016
 Backwoods Brewing Company,Carson,2012
 Bad Bulldogs Brewery,Bremerton,2018
 Bad Jimmy's Brewing Co.,Seattle,2014
 Badass Backyard Brewing Company,Millwood,2015
 Badger Mountain Brewing Company,Wenatchee,2013
 Bainbridge Island Brewing Company,Bainbridge Island,2012
 Bale Breaker Brewing Company,Yakima,2013
 Barhop Brewing,Port Angeles,2011
 Barrel Mountain Brewing,Battle Ground,2016
 Bastion Brewing,Anacortes,2016
 Bavaria Brewing,Sammamish,2014
 Beardslee Alehouse,Bothell,2015
 Beerded Brothers Brewing,Vancouver,2014
 Bellevue Brewing Company,Bellevue,2011
 Belltown Brewing,Seattle,2017
 Bellwether Brewing Company,Spokane,2016
 Bennidito's Brewpub,Spokane,2016
 Bent Bine Brewing Company,Belfair,2017
 Berchman's Brewing Company,Yakima,2015
 Big Barn Brewery,Mead,2013
 Big Block Brewing,Sammamish,2014
 Big Horn Brewing Company (Ram International),Lakewood,1997
 Big Horn Brewing University Village (The Ram),Seattle,2010
 Big Horn Northgate (The Ram),Seattle,2010
 Big Time Brewery,Seattle,1988
 Birdsview Brewing Company,Birdsview,2006
 Black Label Brewing Company,Spokane,2015
 Black Raven Brewing,Redmond,2009
 Blackbeard's Brewing Company,Westport,2015
 Blewett Brewing Company,Leavenworth,2016
 Bluebird Microcreamery & Brewery,Seattle,2012
 Bog Water Brewing Company,Westport,2014
 Bombing Range Brewing Company,Richland,2017
 Bosk Brew Works,Woodinville,2018
 Boundary Bay Brewery,Bellingham,1995
 Brew Bakers Brewing Company,Lake Stevens,2015
 Brier Brewing,Brier,2015
 Bron Yr Aur Brewing Company,Naches,2015
 Brother Ass Brewing,Vancouver,2015
 Brothers Cascadia Brewing,Vancouver,2017
 Burdick Brewery,Seattle,2014
 Burke Gilman Brewing Company,Seattle,2018
 Burwood Brewing Company,Walla Walla,2014
 Bushnell Craft Brewing,Redmond,2014
 Cairn Brewing,Kenmore,2016
 Cardinal Craft Brewing,Burlington,2016
 Cascadia Homebrew,Olympia,2016
 Cash Brewing Company,Silverdale,2015
 Chainline Brewing Company,Kirkland,2015
 Chambers Bay Brewing Company,University Place,2015
 Chief Spring's Fire & Irons Brewpub,Dayton,2013
