"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,102001,"United States",0,220100,0.00410583941605839,0.0142857142857143,0.0757575757575758,,,"2018-09","2018-Q3",220100,0,"2018-09"
2018-09-30,9,"California",1,544900,0.00312960235640648,0.00926097425449157,0.0652981427174976,,,"2018-09","2018-Q3",544900,0,"2018-09"
2018-09-30,54,"Texas",2,188700,0.00372340425531915,0.0134264232008593,0.067911714770798,,,"2018-09","2018-Q3",188700,0,"2018-09"
2018-09-30,43,"New York",3,283800,0.00424628450106157,0.0103239587041652,0.0399413704653719,,,"2007-05","2007-Q2",305200,-0.0701179554390564,"2005-09"
2018-09-30,14,"Florida",4,227800,0.00396650506831203,0.0137961726746773,0.0852787041448309,,,"2006-08","2006-Q3",258900,-0.1201235998455,"2005-10"
2018-09-30,21,"Illinois",5,176800,0.00397501419647927,0.00798175598631699,0.0492581602373887,,,"2007-04","2007-Q2",203900,-0.132908288376655,"2004-09"
2018-09-30,47,"Pennsylvania",6,170500,0.00294117647058824,0.0112692763938316,0.0603233830845771,,,"2018-09","2018-Q3",170500,0,"2018-09"
2018-09-30,44,"Ohio",7,135800,0.00741839762611276,0.0195195195195195,0.0684500393391031,,,"2018-09","2018-Q3",135800,0,"2018-09"
2018-09-30,30,"Michigan",8,146600,0.00548696844993141,0.0230286113049546,0.0883444691907944,,,"2018-09","2018-Q3",146600,0,"2018-09"
2018-09-30,16,"Georgia",9,179200,0.00617630544637844,0.0193401592718999,0.0993865030674847,,,"2018-09","2018-Q3",179200,0,"2018-09"
2018-09-30,36,"North Carolina",10,177400,0.00623936471922859,0.0213010938399539,0.0803897685749087,,,"2018-09","2018-Q3",177400,0,"2018-09"
2018-09-30,40,"New Jersey",11,321200,0.00406376992810253,0.0110166824047844,0.0717384050717384,,,"2006-08","2006-Q3",375900,-0.145517424847034,"2005-02"
2018-09-30,56,"Virginia",12,252900,0.00237812128418549,0.00797130330809087,0.0347790507364975,,,"2007-04","2007-Q2",265600,-0.047816265060241,"2005-09"
2018-09-30,59,"Washington",13,375200,0.00294039026998129,0.00860215053763441,0.0809564966868337,,,"2018-09","2018-Q3",375200,0,"2018-09"
2018-09-30,26,"Massachusetts",14,401500,0.00349912521869533,0.0115898211136306,0.061888389314996,,,"2018-09","2018-Q3",401500,0,"2018-09"
2018-09-30,22,"Indiana",15,137300,0.00659824046920821,0.0261584454409566,0.0940239043824701,,,"2018-09","2018-Q3",137300,0,"2018-09"
2018-09-30,8,"Arizona",16,244600,0.00451745379876797,0.0166251039068994,0.0770585645090269,,,"2006-06","2006-Q2",269400,-0.0920564216778025,"2005-10"
2018-09-30,53,"Tennessee",17,162000,0.00746268656716418,0.0227272727272727,0.0931174089068826,,,"2018-09","2018-Q3",162000,0,"2018-09"
2018-09-30,32,"Missouri",18,155700,0.00516462233699161,0.0163185378590078,0.0782548476454294,,,"2018-09","2018-Q3",155700,0,"2018-09"
2018-09-30,27,"Maryland",19,285400,0.0028109627547435,0.00705716302046577,0.0473394495412844,,,"2006-12","2006-Q4",334800,-0.147550776583035,"2005-05"
2018-09-30,60,"Wisconsin",20,181800,0.006087437742114,0.0213483146067416,0.0637799882972499,,,"2018-09","2018-Q3",181800,0,"2018-09"
2018-09-30,31,"Minnesota",21,229200,0.00438212094653812,0.0137107474568775,0.0645610775661867,,,"2018-09","2018-Q3",229200,0,"2018-09"
2018-09-30,10,"Colorado",22,368100,0.00217805608494419,0.00628758884636413,0.0681950087057458,,,"2018-09","2018-Q3",368100,0,"2018-09"
2018-09-30,4,"Alabama",23,128300,0.00234375,0.0142292490118577,0.0638474295190713,,,"2018-09","2018-Q3",128300,0,"2018-09"
2018-09-30,51,"South Carolina",24,161800,0.00684505289359054,0.0169704588309239,0.0736562707365627,,,"2018-09","2018-Q3",161800,0,"2018-09"
2018-09-30,25,"Louisiana",25,146100,0.00137080191912269,0.00481430536451169,0.0347025495750708,,,"2018-09","2018-Q3",146100,0,"2018-09"
2018-09-30,24,"Kentucky",26,141600,0.00568181818181818,0.0179726815240834,0.0622655663915979,,,"2018-09","2018-Q3",141600,0,"2018-09"
2018-09-30,46,"Oregon",27,338300,0.00237037037037037,0.00954938824231573,0.0611668757841907,,,"2018-09","2018-Q3",338300,0,"2018-09"
2018-09-30,45,"Oklahoma",28,120600,0.00249376558603491,0.0075187969924812,0.048695652173913,,,"2018-09","2018-Q3",120600,0,"2018-09"
2018-09-30,11,"Connecticut",29,241800,0.00290335960182497,0.00791996665277199,0.0373230373230373,,,"2006-06","2006-Q2",290100,-0.166494312306101,"2004-05"
2018-09-30,19,"Iowa",30,140500,0.00428877769835597,0.0137085137085137,0.0453869047619048,,,"2018-09","2018-Q3",140500,0,"2018-09"
2018-09-30,34,"Mississippi",31,123200,0.000812347684809098,0.00407497962510187,0.0648228176318064,,,"2018-09","2018-Q3",123200,0,"2018-09"
2018-09-30,6,"Arkansas",32,122800,0.00326797385620915,0.007383100902379,0.0531732418524871,,,"2018-09","2018-Q3",122800,0,"2018-09"
