Date,US,California,Arizona,Colorado,Idaho,New Mexico,Nevada,Oregon,Utah,Washington
2016,20.43%,24.36%,21.87%,21.39%,18.30%,20.64%,21.81%,21.17%,17.35%,20.30%
2015,20.63%,24.39%,21.74%,20.86%,19.14%,20.70%,22.43%,20.90%,17.64%,20.21%
2014,20.89%,24.57%,21.95%,19.97%,18.93%,20.81%,22.27%,21.71%,17.45%,20.18%
2013,20.78%,24.40%,22.02%,19.81%,18.60%,21.12%,22.30%,21.18%,17.69%,20.32%
2012,20.65%,24.69%,22.28%,19.74%,18.52%,21.23%,22.77%,21.04%,17.90%,19.88%
2011,20.70%,24.59%,21.84%,19.50%,19.08%,20.85%,22.96%,21.53%,17.66%,19.64%
2010,20.50%,24.18%,21.65%,19.16%,18.85%,19.93%,22.40%,21.03%,17.45%,19.59%
2009,20.12%,23.52%,21.15%,18.42%,18.54%,18.96%,22.34%,20.28%,17.27%,19.33%
2008,19.00%,22.32%,20.39%,17.85%,17.40%,18.42%,21.53%,18.66%,16.61%,18.06%
2007,18.66%,21.58%,19.70%,17.13%,16.97%,18.44%,21.36%,18.30%,15.96%,17.61%
2006,18.90%,21.80%,19.35%,17.99%,17.44%,18.22%,20.76%,18.53%,16.30%,17.78%
2005,18.89%,21.77%,19.43%,17.93%,17.20%,18.79%,21.01%,19.25%,16.65%,18.05%
