Brewery,Location,Est. Year
 12 West Brewing,Gilbert,2016
 1912 Brewing Company,Tucson,2015
 8-Bit Aleworks,Avondale,2015
 Arizona Wilderness Brewing Company,Gilbert,2013
 Bad Water Brewing,Scottsdale,2012
 Barley Brothers Brewery and Grill,Lake Havasu City,1997
 Barnstar Brewing Company,Skull Valley,2013
 Barrio Brewing Co.,Tucson,2008
 Beast Brewing Company,Bisbee,2014
 Beaver Street Brewery,Flagstaff,2002
 Beer Research Institute,Mesa,2014
 Big E Steakhouse,Grand Canyon,2016
 Black Bridge Brewery (AZ),Kingman,2014
 Black Horse Brewery (AZ),Show Low,2015
 Black Mountain Brewing Co.,Cave Creek,2000
 BlackRock Brewers,Tucson,2017
 Blasted Barley Beer Co.,Tempe,2015
 Bone Haus Brewing,Fountain Hills,2018
 Borderlands Brewing Company,Tucson,2011
 Brewers Restaurant & Sports Bar,Yuma,2014
 Button Brew House,Tucson,2017
 Casa Arriba Brewing Company,Scottsdale,2003
 Catalina Brewing Company,Tucson,2016
 College Street Brewhouse & Pub,Lake Havasu City,2012
 Copper Mine Brewing Company,Tucson,2017
 Coppertop Alehouse,Prescott,2017
 Corbett Brewery,Tucson,2018
 Cosmic Beer & Distributing,Flagstaff,2012
 Craft 64,Scottsdale,2016
 Crooked Tooth Brewing Co.,Tucson,2016
 Dark Sky Brewing Company,Flagstaff,2015
 Desert Eagle Brewing Company,Mesa,2012
 Dillinger Brewing Company,Tucson,2017
 Dragoon Brewing Company,Tucson,2012
 Dubina Brewing Company,Glendale,2014
 Flagstaff Brewing Company,Flagstaff,2003
 Flying Basset Brewing,Gilbert,2018
 Four Peaks Brewing Company (AB InBev),Tempe,1997
 Freak'N Brewing Company,Peoria,2014
 Gentle Bens Brewing Company,Tucson,1998
 Goldwater Brewing Company,Scottsdale,2014
 Grand Canyon Brewing Company,Williams,2007
 Granite Mountain Brewing,Prescott,2013
 Green Feet Brewing,Tucson,2016
 Harbottle Brewing Company,Tucson,2018
 Helio Basin Brewing Company,Phoenix,2016
 Helton Brewing Company,Phoenix,2016
 Historic Brewing Company,Flagstaff,2013
 Huss Brewing Company - Tempe Taproom,Tempe,2013
 Insurgent Brewing Company,Chino Valley,2017
 Iron John's Brewing Company,Tucson,2014
 Limelight Brewing,Phoenix,2018
 Lochiel Brewing,Mesa,2016
 Lonesome Valley Brewing,Prescott Valley,2013
 Lumberyard Brewing Company,Flagstaff,2009
 McFate Brewing Company,Scottsdale,2012
 Mesquite River Brewing Company,Scottsdale,2016
 Mother Bunch Brewing,Phoenix,2014
 Mother Road Brewing Company,Flagstaff,2011
 Mudshark Brewing Company,Lake Havasu City,2000
 Nimbus Brewing Company,Tucson,2000
 North Mountain Brewing Company,Phoenix,2013
 O.H.S.O. Eatery & NanoBrewery,Phoenix,2011
 Oak Creek Brewing Company,Sedona,1995
 Old Bisbee Brewing Company,Bisbee,2010
 Old Ellsworth Brewing Company,Queen Creek,2017
 Oro Brewing Company,Mesa,2016
 Pedal Haus Brewery,Tempe,2015
 Peoria Artisan Brewery,Litchfield Park,2014
 Perch Pub & Brewery,Chandler,2014
 Phoenix Ale Brewery,Phoenix,2011
 Pinetop Brewing Company,Lakeside,2013
 Prescott Brewing Company,Prescott,1994
 Prison Hill Brewing Company,Yuma,2014
 Public Brewhouse Brewery,Tucson,2015
 Pueblo Vida Brewing Company,Tucson,2014
 Richter Aleworks,Peoria,2016
 Rickety Cricket Brewing,Kingman,2017
 Rock Bottom Arrowhead,Glendale,2004
 Rodeo Cold Brewing Company,New River,2015
 Saddle Mountain Brewing,Goodyear,2014
 SanTan Brewing Company,Chandler,2008
 Scottsdale Beer Company,Scottsdale,2014
 Sentinel Peak Brewing Company,Tucson,2013
 Sleepy Dog Saloon & Brewery,Tempe,2009
 Sonoran Brewing Company,Phoenix,1996
 State 48 Brewery,Surprise,2016
 Sun Up Brewery,Phoenix,2001
 Ten Fifty-Five Brewing,Tucson,2012
 THAT Brewery & Pub,Pine,2012
 The Address Brewing Co,Tucson,2011
 The Shop Beer Co.,Tempe,2016
 Thunder Canyon Brewery,Tucson,1997
 Tombstone Brewing Company,Tombstone,2016
 Uncle Bear's Brewery,Ahwatukee,2013
 Verde Brewing Company,Camp Verde,2014
 Wanderlust Brewing Company,Flagstaff,2012
 Wren House Brewing Company,Phoenix,2015
