Brewery,Location,Est. Year
 105 West Brewing Company,Castle Rock,2015
 12 Degree Brewing,Louisville,2013
 14er Brewing Company,Denver,2016
 2 Rascals Brewing Company,Montrose,2013
 3 Freaks Brewery,Highlands Ranch,2014
 300 Suns Brewing, Longmont,2013
 38 State Brewing Company,Littleton,2014
 4 Noses Brewing Company,Broomfield,2014
 4B's Brewery,Cedaredge,2015
" 5280 NRG, LLC",Greenwood Village,2014
 7 Hermits Brewing Company,Eagle,2014
 Acidulous Brewing Company,Boulder,2016
 Alpine Dog Brewery,Denver,2014
 Alternation Brewing Company,Denver,2017
 Amalgam Brewing,Niwot,2016
 Amicas Pizza & Microbrew,Salida,2003
 Angry James Brewery,Silverthorne,2018
 Animas Brewing Company,Durango,2014
 Asher Brewing Company,Boulder,2009
 Aspen Brewing Company,Aspen,2008
 Atom Brewing Company,Erie,2016
 Atrevida Beer Company,Colorado Springs,2018
 Avalanche  Brewing Company,Silverton,2014
 Avery Brewing Company,Boulder,1993
 Backcountry Brewery (CO),Frisco,2000
 Baere Brewing Company,Denver,2014
 Banded Oak Brewing Company,Denver,2016
 Barnett & Son Brewing Company,Parker,2016
 Barrels and Bottles Brewery,Golden,2013
 Beer By Design Brewery,Northglenn,2013
 Berthoud Brewing Company,Berthoud,2014
 Beryl's Beer Company,Denver,2014
 Beyond the Mountain Brewing Company,Boulder,2018
 Bierstadt Lagerhaus,Denver,2016
 BierWerks,Woodland Park,2010
 Big Beaver Brewing Company,Loveland,2011
 Big Choice Brewing,Broomfield,2012
 Big Thompson Brewery,Loveland,2015
 Black Bottle Brewery,Fort Collins,2012
 Black Forest Brewing Company,Colorado Springs,2018
 Black Project Spontaneous & Wild Ales,Denver,2017
 Black Shirt Brewing Company,Denver,2012
 Black Sky Brewery,Denver,2013
 Blackadder Brewing Company,Gainesville,2018
 Blue Moon Brewing Company (MillerCoors),Denver,2016
 Blue Spruce Brewing Company,Centennial,2014
 Blue Tile Brewing,Denver,2018
 Boggy Draw Brewery,Sheridan,2015
 Bonfire Brewing,Eagle,2010
 Bootstrap Brewing,Niwot,2012
 Bottom Shelf Brewery,Bayfield,2017
 Boulder Beer Company,Boulder,1979
 Brass Brewing Company,Colorado Springs,2018
 Breckenridge Brewery (AB InBev),Denver,1990
 BREW Pub & Kitchen,Durango,2013
 Brewability Lab,Denver,2017
 Brewery Rickoli,Wheat Ridge,2012
 Briar Common Brewery + Eatery,Denver,2016
 Bristol Brewing Company,Colorado Springs,1998
 Brix Taphouse & Brewery,Greeley,2017
 Broken Compass Brewing Company,Breckenridge,2014
 Broken Plow Brewing Company,Greeley,2014
 BRU Handbuilt Ales,Boulder,2012
 Brues Alehouse Brewing Company,Pueblo,2015
 Bruz Beers,Denver,2016
 Buckhorn Brewers,Loveland,2013
 Bull & Bush Pub & Brewery,Denver,1997
 Burgundian Brewing,Denver,2017
 BURLY Brewing Company,Castle Rock,2018
 Burns Family Artisan Ales,Denver,2018
 Butcherknife Brewing Company,Steamboat Springs,2014
 C.B. & Potts (Ram International),Broomfield,2013
 Call to Arms Brewing Company,Denver,2014
 Cannonball Creek Brewing Company,Golden,2013
 Capitol Creek Brewery,Basalt,2017
 Carbondale Beer Works,Carbondale,2011
 Carver Brewing Company,Durango,2003
 Casey Brewing and Blending,Glenwood Springs,2014
 Castle Rock Beer Company,Castle Rock,2016
 Cellar West Artisan Ales,Boulder,2016
 Centennial Beer Company,Fort Collins,2013
 Cerberus Brewing Company,Colorado Springs,2016
 Cerebral Brewing,Denver,2015
 Chain Reaction Brewing Company,Denver,2014
 Cheluna Brewing Company,Aurora,2016
 ChopHouse & Brewery Denver (Craftworks),Denver,2000
 City Star Brewing,Berthoud,2012
 Coal Mine Ave Brewing Company,Littleton,2018
 CO-Brew,Denver,2015
 Coda Brewing Company,Golden,2016
 Cogstone Brewing Company,Colorado Springs,2016
 Colorado Boy,Montrose,2009
 Colorado Mountain Brewery,Colorado Springs,2009
 Colorado Plus,Wheatridge,2013
 Comrade Brewing Company,Denver,2014
 CooperSmiths Pub & Brewing,Fort Collins,1989
 Coors Brewing Company (MillerCoors),Golden,1873
 Copper Club Brewing,Fruita,2013
 Copper Kettle Brewing (CO),Denver,2011
 Crabtree Brewing Company,Greeley,2006
 Creede Brewing Company,Denver,2014
 Crestone Brewing Co.,Crestone,2016
 Crooked Stave Artisan Beer Project,Denver,2011
 Crow Hop Brewery,Loveland,2013
 Crystal Springs Brewing Company,Louisville,2010
 Dad and Dude's Breweria,Aurora,2011
 DC Oakes Brewhouse & Eatery,Fort Collins,2017
 De Steeg Brewing,Denver,2013
 Dead Hippie Brewing,Sheridan,2016
 Declaration Brewing,Denver,2015
 Denver Beer Company,Denver,2011
 Diebolt Brewing Company,Denver,2013
 Dillon Dam Brewery & Restaurant,Dillon,1996
 Dive Bar Brewing Company,Denver,2018
 Dodgeton Creek Brewing Company,Trinidad,2015
 Dolores River Brewery,Dolores,2006
 Dostal Alley Casino & Brew Pub,Central City,2002
 Drätz Brewing Company,Loveland,2018
 Dry Dock Brewing Company,Aurora,2005
 Dueces Wild Brewery,Colorado Springs,2018
 Durango Brewing Company,Durango,2002
 Echo Brewing Company,Frederick,2012
 Eddyline Brewery,Buena Vista,2009
 El Rancho Brewing Company,Evergreen,2015
 Elevation Beer Company,Poncha Springs,2012
 Elk Mountain Brewing Company,Parker,2010
 Endo Brewing Company,Lafayette,2017
 Equinox Brewing,Fort Collins,2010
 Estes Park Brewery,Estes Park,1994
 Evergreen Tap House & Brewery,Evergreen,2017
 Factotum Brewhouse,Denver,2015
 Fate Brewing Company (CO),Boulder,2013
 FERMÆNTRA,Denver,2014
 Fiction Beer Company,Denver,2014
 Fieldhouse Brewing Company,Colorado Springs,2014
 Finkel and Garf Brewing,Boulder,2014
 Floodstage Ale Works,Brighton,2011
 Florence Brewing Company,Florence,2016
 Fossil Craft Beer Company,Colorado Springs,2014
 Frolic Brewing Company,Westminster,2018
 Front Range Brewing Company,Lafayette,2013
 Funkwerks,Fort Collins,2010
 G5 Brew Pub,Severance,2018
 Gemini Beer Company,Boulder,2015
 Gilded Goat Brewing Company,Fort Collins,2017
 Glenwood Canyon Brewing Company,Glenwood Springs,1996
 Goat Patch Brewing Co.,Colorado Springs,2017
 Gold Camp Brewing Company,Colorado Springs,2015
 Golden Block Brewery,Silverton,2016
